Year,All NonFinancial Assets Current,Equipment Current,IP Current,Inventories Current,Real Estate Current,All NonFinancial Assets Historical,Equipment Historical,IP Historical,Inventories Historical,Real Estate Historical,All Assets Current,All Assets Historical
1945Q4,217386,32441,5846,36287,142811,124426,26895,4744,26252,66535,286155,193195
1946Q4,245008,39251,6662,39688,159407,143670,30534,5393,37528,70215,312172,210834
1947Q4,286835,47231,7773,44094,187736,161321,36452,6083,44601,74185,362724,237210
1948Q4,314618,57118,8356,49694,199450,177062,42436,6702,48864,79060,395984,258428
1949Q4,320170,59233,8555,48446,203936,182211,46429,7145,45338,83299,405438,267479
1950Q4,350144,68431,9455,51544,220714,201811,50819,7719,55096,88177,452196,303863
1951Q4,390576,75319,10128,64484,240645,224376,56603,8327,64828,94618,500655,334455
1952Q4,408765,79669,11026,66688,251382,238529,62362,9339,66035,100793,524262,354026
1953Q4,426950,86825,12393,68631,259102,254981,68431,10712,67418,108420,545484,373515
1954Q4,435961,90065,13648,67246,265003,265985,73317,12015,65471,115182,559993,390017
1955Q4,473997,99658,15241,73919,285179,288556,79048,13402,72967,123139,615411,429970
1956Q4,525915,113963,17473,80915,313564,316548,86911,15333,80589,133715,672360,462993
1957Q4,557989,125586,19457,82911,330035,339504,95927,17147,82344,144086,708995,490510
1958Q4,570292,129601,21159,81685,337847,354955,100777,18879,81888,153411,732828,517491
1959Q4,595067,136432,23283,87235,348117,379011,107057,20761,88448,162745,772702,556646
1960Q4,609666,141877,25168,89900,352721,402024,114640,22731,91626,173027,790143,582501
1961Q4,626539,145126,27234,91629,362550,424395,120985,24875,95047,183488,819661,617517
1962Q4,649377,151526,29096,96793,371962,450255,128843,26935,100556,193921,854463,655341
1963Q4,672864,158459,31623,101502,381280,477699,137362,29289,106754,204294,893295,698130
1964Q4,709814,168396,34151,107864,399403,508422,147853,31637,113140,215792,944763,743371
1965Q4,761292,182211,37496,117591,423994,554554,162393,34608,126584,230969,1023638,816900
1966Q4,832789,204158,41639,132962,454030,610208,180752,38391,142838,248227,1109493,886912
1967Q4,898434,225192,46782,143253,483207,658194,197335,42432,153081,265346,1192886,952646
1968Q4,980225,249670,52536,153153,524866,711389,215745,46908,165992,282744,1307715,1038879
1969Q4,1083799,276216,59275,167897,580412,779535,236565,51715,186419,304836,1445458,1141194
1970Q4,1182929,303435,65342,176138,638014,830265,255141,55969,193295,325860,1565980,1213316
1971Q4,1288572,324761,69715,187060,707036,880086,272634,59798,200355,347299,1713178,1304692
1972Q4,1403407,350015,75300,202392,775700,957758,294833,64468,225722,372735,1896388,1450739
1973Q4,1596516,388355,83980,240886,883295,1062147,324994,69641,263899,403613,2167498,1633129
1974Q4,1943129,478836,95599,305837,1062857,1191790,359194,75714,319526,437356,2558446,1807107
1975Q4,2131816,550136,103575,307174,1170931,1256476,390232,81934,316456,467854,2905163,2029823
1976Q4,2354268,608321,113283,340602,1292062,1365772,427244,90219,346944,501365,3217331,2228835
1977Q4,2618158,686106,124810,376495,1430748,1504976,479667,100124,385035,540150,3582292,2469110
1978Q4,2978655,782627,139690,435516,1620822,1687849,546499,111133,438427,591790,4077479,2786673
1979Q4,3439598,905871,159800,513751,1860175,1906255,624412,125509,499638,656696,4717142,3183799
1980Q4,3925220,1053072,182849,576718,2112581,2107325,699435,141693,533302,732895,5369790,3551895
1981Q4,4403676,1170454,209603,626607,2397012,2365911,781886,162639,596532,824854,6041819,4004054
1982Q4,4638513,1238977,234767,618514,2546255,2534905,847446,185449,587932,914078,6387267,4283659
1983Q4,4792825,1275677,260744,639553,2616851,2718536,908841,210200,612847,986648,6719191,4644902
1984Q4,5095532,1341267,290424,708645,2755196,2985567,991623,240422,679931,1073591,7296134,5186169
1985Q4,5329625,1416404,319788,720577,2872856,3238590,1070707,271824,724793,1171266,7800474,5709439
1986Q4,5511206,1491381,347991,714911,2956923,3406277,1138056,302088,721477,1244656,8150950,6046021
1987Q4,5802585,1552976,381982,771525,3096102,3622094,1193995,329477,782606,1316016,8673107,6492616
1988Q4,6200069,1634974,434795,833268,3297032,3847223,1258002,356524,834945,1397752,9450189,7097343
1989Q4,6514763,1718935,472548,876803,3446477,4060481,1328761,389167,863890,1478663,9993658,7539376
1990Q4,6668445,1813320,512230,909813,3433081,4363685,1399735,424557,875364,1664029,10255956,7951196
1991Q4,6514075,1861340,552528,894910,3205297,4530060,1460108,461554,866757,1741641,10228659,8244644
1992Q4,6363341,1915613,589709,910426,2947592,4734978,1530640,496606,902534,1805198,10242519,8614156
1993Q4,6496181,1994414,625445,942902,2933420,4975308,1622438,532618,940638,1879614,10725094,9204221
1994Q4,6899776,2106491,672109,1016165,3105011,5257116,1737163,568568,995986,1955399,11400052,9757392
1995Q4,7277324,2249065,726014,1078964,3223282,5569089,1878044,615493,1031500,2044052,12259062,10550827
1996Q4,7543067,2368652,782465,1104510,3287440,5904163,2024648,672993,1067689,2138833,13024453,11385549
1997Q4,8552076,2477401,857047,1147788,4069840,6268168,2181187,743253,1099001,2244727,14383395,12099487
1998Q4,9286722,2582498,931249,1174330,4598646,6653300,2334157,812808,1137300,2369035,16128048,13494626
1999Q4,9827023,2720532,1033382,1258530,4814579,7082892,2499812,895441,1198834,2488805,17943432,15199301
2000Q4,10811456,2888645,1138218,1339997,5444596,7580852,2680231,988924,1270151,2641546,20603210,17372606
2001Q4,10812727,2962180,1185743,1272968,5391836,7864575,2788446,1061382,1209548,2805199,20735168,17787016
2002Q4,11177383,2968900,1221939,1312702,5673842,8090398,2833220,1108217,1231616,2917345,21158150,18071165
2003Q4,11482552,2975871,1287444,1363896,5855341,8328139,2881694,1155201,1269229,3022015,21643429,18489016
2004Q4,13102134,3124560,1343340,1493596,7140637,8688946,2954068,1205387,1389620,3139871,24087183,19673995
2005Q4,14316770,3258070,1434592,1618687,8005421,9166684,3068660,1273185,1519313,3305526,26269290,21119204
2006Q4,15770589,3481338,1523458,1720026,9045767,9711790,3225544,1352272,1614157,3519817,28485345,22426546
2007Q4,17310410,3634756,1636261,1855887,10183506,10262537,3379990,1438851,1663586,3780110,31118099,24070226
2008Q4,16525430,3818659,1716984,1805961,9183826,10699292,3497647,1524530,1629520,4047595,29501388,23675250
2009Q4,14111407,3758458,1762387,1702102,6888459,10777998,3485049,1577102,1492739,4223108,27486629,24153220
2010Q4,14852541,3835064,1840585,1860395,7316496,11150253,3555984,1637370,1559532,4397367,27007766,23305478
2011Q4,15674172,4014144,1931409,2000822,7727797,11662509,3695178,1714066,1681385,4571880,28197001,24185338
2012Q4,16521917,4191533,2011432,2099254,8219698,12233563,3876195,1790524,1785255,4781589,29497118,25208764
2013Q4,18084655,4322623,2129443,2173998,9458591,12783597,4051316,1875322,1859860,4997099,32100342,26799284
2014Q4,19245136,4486051,2230693,2233493,10294899,13446587,4245594,1970797,1950684,5279512,34102798,28304249
2015Q4,20394184,4594471,2304901,2248656,11246157,14029237,4427953,2062778,2007752,5530754,36370159,30005212
2016Q4,21320800,4694238,2435271,2316470,11874821,14498442,4561425,2164552,2027807,5744658,38406364,31584006
2017Q4,22735826,4872441,2599985,2422987,12840412,15038629,4713715,2272338,2089791,5962785,40734091,33036894
2018Q4,23467763,5103987,2732859,2547770,13083147,15731734,4906275,2405753,2200839,6218867,42042405,34306376
2019Q4,24873467,5273272,2934741,2596468,14068986,16454010,5082399,2564577,2354435,6452598,45119723,36700265
